,molecule_chembl_id,IC50,smiles,pIC50
99,CHEMBL2064552,0.6,COc1ccc(S(=O)(=O)N(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)nn2)[C@@H](C(=O)NO)C(C)C)cc1,9.221848749616356
100,CHEMBL123967,0.6,COc1ccc(S(=O)(=O)N2CCN(S(C)(=O)=O)CC2C(=O)NO)cc1,9.221848749616356
101,CHEMBL1801393,0.6,O=C(NO)C1(S(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)CCN(Cc2cccnc2)CC1,9.221848749616356
102,CHEMBL317132,0.6,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,9.221848749616356
103,CHEMBL96049,0.6,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)c3ccccc3)CC2C(=O)NO)cc1,9.221848749616356
104,CHEMBL401404,0.62,COc1cccc(N[C@@H](CN(c2ccc(Oc3ccc(C)cc3)cc2)S(C)(=O)=O)C(=O)NO)c1,9.207608310501746
105,CHEMBL251831,0.68,Cc1ccc(Oc2ccc(N(C[C@@H](C(=O)NO)N3C[C@@H](C)O[C@@H](C)C3)S(C)(=O)=O)cc2)cc1,9.167491087293763
106,CHEMBL430664,0.7,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)c3ccc(-c4ccccc4)cc3)CC2C(=O)NO)cc1,9.154901959985743
107,CHEMBL5174280,0.704,O=C(CCC(NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)O)NCc1ccccc1,9.152427340857887
108,CHEMBL4461597,0.76,O=C(NO)[C@H]1CCCC1S(=O)(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)cc1,9.119186407719209
109,CHEMBL515980,0.77,CC(C)[C@H](C(=O)NO)N(CC(=O)O)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,9.113509274827518
110,CHEMBL78052,0.79,CS(=O)(=O)N1CCN(CCC(CS(=O)(=O)c2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)N(O)C=O)CC1,9.102372908709558
111,CHEMBL5275421,0.8,O=C(NO)C1(S(=O)(=O)c2ccc(-n3cc(-c4ccc(-c5cncnc5)cc4)nn3)cc2)CCOCC1,9.096910013008056
112,CHEMBL573715,0.8,COc1ccc(Oc2ccc(S(=O)(=O)c3ccccc3CC(=O)NO)cc2)cc1,9.096910013008056
113,CHEMBL116944,0.8,C[C@@H](C[C@@H](CO)NC(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,9.096910013008056
114,CHEMBL379220,0.8,CCc1ccc(C#Cc2ccc(SC(CCN3C(=O)c4ccccc4C3=O)C(=O)O)cc2)cc1,9.096910013008056
115,CHEMBL1916215,0.8,Cc1ccc(C#Cc2ccc(S(=O)(=O)N(CCN3CCOCC3)[C@@H]3CC=CCN(O)C3=O)s2)cc1,9.096910013008056
116,CHEMBL2425938,0.8,CC(C)[C@H](C(=O)NO)N(CCn1cc(CCCCOc2cccnc2F)nn1)S(=O)(=O)c1ccc(OCCF)cc1,9.096910013008056
