,molecule_chembl_id,IC50,smiles,pIC50,molecular_weight,heavy_atoms,rotatable_bonds,n_hba,n_hbd,logp,reos_fulfilled
537,CHEMBL1165150,7.89,O=C(/C=C/c1ccc(O)c(O)c1)Nc1ccc(Cl)cc1,8.10292299679058,289.050570924,20,3,3,3,3.403100000000002,True
538,CHEMBL1830129,7.98,O=C(/C=C/c1ccccc1)Nc1ccccc1,8.09799710864927,223.099714036,17,3,1,1,3.3385000000000016,True
539,CHEMBL16630,8.0,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)C[C@H](O)CS)C(C)(C)C,8.096910013008056,332.213363884,22,8,4,4,1.6063999999999994,True
540,CHEMBL36191,8.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cnc3ccc(Br)cc23)cc1,8.096910013008056,541.03070384,34,7,6,2,4.520400000000003,True
541,CHEMBL69268,8.0,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)cc(C)cc2-c2ccco2)cc1,8.096910013008056,493.130756456,35,8,7,2,4.173120000000003,True
542,CHEMBL71686,8.0,Cc1cc(C)c(N(C)S(=O)(=O)c2ccc(Sc3ccccc3)cc2)c(C(=O)NO)c1,8.096910013008056,442.10209918399994,30,6,5,2,4.398740000000004,True
543,CHEMBL95486,8.0,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(S(C)(=O)=O)CC2C(=O)NO)cc1,8.096910013008056,455.0820920119999,30,5,7,2,0.5397000000000004,True
545,CHEMBL34660,8.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cnc3c(C(C)(C)C)cccc23)cc1,8.096910013008056,519.182792028,37,7,6,2,5.055400000000004,True
546,CHEMBL202932,8.0,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(C)C)P(=O)(O)O)cc2)cc1,8.096910013008056,399.0905450539999,26,7,4,3,2.800300000000002,True
547,CHEMBL305722,8.0,COc1ccc(S(=O)(=O)C(C)(Cc2ccc3ccccc3c2)C(=O)NO)cc1,8.096910013008056,399.114043772,28,6,5,2,3.1289000000000007,True
548,CHEMBL101981,8.0,CCN(CC)Cc1cccc(C(=O)NO)c1N(C)S(=O)(=O)c1ccc(OC)cc1,8.096910013008056,421.16714196399994,29,9,6,2,2.4810999999999996,True
550,CHEMBL85030,8.0,COc1ccc(S(=O)(=O)N(Cc2ccccc2)[C@@H](C(=O)NO)C(C)C)cc1,8.096910013008056,392.14059286799994,27,8,5,2,2.4161,True
551,CHEMBL16933,8.0,CNC(=O)[C@@H](NC(=O)[C@@H](CC(=O)CS)CC(C)C)C(C)(C)C,8.096910013008056,330.19771382,22,8,4,3,1.8145999999999989,True
552,CHEMBL2336786,8.02,O=C(/C=C/c1cccc(O)c1)Nc1ccccc1F,8.095825631715837,257.085206844,19,3,2,2,3.183200000000001,True
